Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
George MacDonald	70-80	Male	Respected, wise	Kind, guiding	Mentor	Writer/Philosopher	When the Narrator arrives in Heaven	Wise, compassionate, reflective	Guides the Narrator through the afterlife	No direct family shown	Robust, luminous figure	White robes	ChatGPT	The Great Divorce	2024-12-21
The Big Man	40-50	Male	Working-class	Angry, prideful	Ghost	Unknown	At the bus stop	Prideful, aggressive, resentful	Refuses to stay in Heaven due to perceived injustices to him	None noted	Tall, broad, imposing	Shadowy laborer clothing	ChatGPT	The Great Divorce	2024-12-21
The Intellectual Bishop	60-70	Male	Upper-middle-class	Abstract thinker, skeptic	Ghost	Bishop/Cleric	At the bus stop	Overly analytical, detached	Refuses Heaven due to doubts and need for intellectual freedom	None shown	Thin, ghostly	Clerical robes, gray and shadowy	ChatGPT	The Great Divorce	2024-12-21
The Artist	50-60	Male	Upper-class	Creative, self-centered	Ghost	Painter	At the bus stop	Obsessed with his legacy	Refuses Heaven to preserve his artistic reputation	None noted	Thin, transparent artist	Loose, gray tunic	ChatGPT	The Great Divorce	2024-12-21
The Nagging Wife	40-50	Female	Middle-class	Demanding, controlling	Ghost	Housewife	At the bus stop	Overbearing, critical	Refuses Heaven to control her husband	Relationship with her husband	Thin, insubstantial	Simple gray dress	ChatGPT	The Great Divorce	2024-12-21
The Lustful Man	30-40	Male	Lower-class	Weak-willed, repentant	Ghost	Unknown	At the bus stop	Struggles with lust	Allows an angel to kill the lizard of lust on his shoulder	No noted relationships	Frail, transparent	Shadowy, casual attire	ChatGPT	The Great Divorce	2024-12-21
The Luminous Woman	30-40	Female	Noble, radiant	Loving and forgiving	Spirit	None explicitly	When meeting her ghostly husband	Compassionate, forgiving	Greets her ghostly husband, exudes immense joy	Husband (shrinking ghost)	Radiant, beautiful	Brilliant white and gold garments	ChatGPT	The Great Divorce	2024-12-21
The Shrinking Ghost	40-50	Male	Middle-class	Pathetic, self-pitying	Ghost	None explicitly	When meeting his luminous wife	Clinging to self-pity and manipulation	Uses a tragedian figure to speak for him	Relationship with his luminous wife	Small, fading figure	Shabby, gray garments	ChatGPT	The Great Divorce	2024-12-21
The Angel	Ageless	Male	Divine, authoritative	Determined and kind	Guide	None explicitly	On the bus and in Heaven	Solemn, focused, supportive	Drives the bus and helps the ghosts	No explicit relationships	Luminous, strong	Brilliant white	ChatGPT	The Great Divorce	2024-12-21
The Tragedian	Ageless	Male	Symbolic, chained	Embodying manipulation and self-pity	Ghostly extension	None explicitly	With the Shrinking Ghost	Dramatic, pathetic	Chained to the Shrinking Ghost	No relationships noted	Pale, ethereal	Gray and shadowy theatrical attire	ChatGPT	The Great Divorce	2024-12-21
Hazel Motes	22-25	Male	Working-class	Avowed atheist, war veteran	Protagonist	Street Preacher	Returning from war	Cynical, intense, obsessed	Blinds himself with quicklime, kills Holy’s Prophet, destroys his car	Grandson of a preacher; brief connection with Sabbath Lily	Thin, sharp features, intense eyes	Suit and hat (dark-colored)	ChatGPT	Wise Blood	2024-12-21
Enoch Emery	18	Male	Lonely, socially awkward	"Mentally unstable, ""wise blood"" ideology"	Side character	Zookeeper	Meeting Hazel Childlike, manic, impressionable	Steals a mummified dwarf, stabs a man in a gorilla suit	Abusive father, idolizes Hazel	Youthful, erratic gestures	Zookeeper uniform (likely khaki)		ChatGPT	Wise Blood	2024-12-21
Asa Hawks	50s-60s	Male	Impoverished, fraudulent preacher	Pretends to be blind	Supporting character	Con artist and preacher	Street preaching	Manipulative, hypocritical	Abandons Sabbath Lily after secret revealed	Sabbath Lily’s father	Grizzled, worn features	Ragged suit (gray or brown)	ChatGPT	Wise Blood	2024-12-21
Sabbath Lily Hawks	15	Female	Impoverished, rebellious	Naive, forward, manipulative	Supporting character	Daughter of Asa Hawks	With Asa Hawks during street preaching	Bold, manipulative, flirtatious	Seduces Hazel, carries mummified dwarf	Asa Hawks’ daughter, briefly Hazel's companion	Young, pale, unkempt	Ragged dress (neutral tones)	ChatGPT	Wise Blood	2024-12-21
Leora Watts	30s-40s	Female	Prostitute	Loud, crude, destructive	Supporting character	Prostitute	At her house	Crude, indifferent, self-serving	Destroys Hazel's hat, entertains him briefly	No notable relationships	Heavy-set, garish makeup	Colorful robe (bright tones)	ChatGPT	Wise Blood	2024-12-21
Hoover Shoats / Onnie Jay Holy	40s	Male	Con artist	Opportunistic, greedy	Antagonist	Fake preacher	Street preaching	Cunning, persuasive, theatrical	"Forms ""Holy Church of Christ Without Christ"""	No notable relationships	Portly, jovial appearance	Gaudy suit (possibly mismatched colors)	ChatGPT	Wise Blood	2024-12-21
Mrs. Flood	60s	Female	Landlady	Curious, opportunistic	Supporting character	Landlady of Hazel’s boarding house	At boarding house	Curious, opportunistic, later infatuated with Hazel	Cares for Hazel's body after his death	No notable relationships	Elderly, stout, glasses	Plain dress (likely dark or neutral)	ChatGPT	Wise Blood	2024-12-21
Police Officer	30s-40s	Male	Working-class	Brutal, indifferent	Minor character	Policeman	Pulling Hazel over	Authoritarian, impatient	Pushes Hazel's car off a cliff, strikes him in the head	No notable relationships	Standard uniform	Police uniform (blue or black)	ChatGPT	Wise Blood	2024-12-21
Philip Marlowe	38	Male	Middle class	Sharp-witted, ethical, independent	Protagonist	Private detective	"Outside ""The Dancers"" nightclub"	Cynical, loyal, analytical	Helps Terry Lennox escape; investigates Sylvia's murder; uncovers Wade and Eileen's secrets	Professional relationship with Terry Lennox, Eileen Wade, and others	Tall, lean, rugged face	Suits in shades of gray or brown	ChatGPT	The Long Goodbye	2024-12-22
Terry Lennox	35	Male	Middle class	Scarred face, charming but troubled	Secondary character		"Outside ""The Dancers"" nightclub"	Melancholic, enigmatic, evasive	Escapes to Mexico; fakes death; reconnects with Marlowe	Friendship with Philip Marlowe; estranged from Sylvia Lennox	Scarred face from wartime injury	Casual clothes, neutral tones	ChatGPT	The Long Goodbye	2024-12-22
Sylvia Lennox	30	Female	Wealthy	Manipulative, glamorous	Victim	Socialite	Referenced in her Beverly Hills home	Entitled, volatile, flirtatious	Engages in an affair; murdered by Eileen	Married to Terry Lennox; sister to Linda Loring	Blonde, elegant	Formal dresses, pastel colors	ChatGPT	The Long Goodbye	2024-12-22
Eileen Wade	32	Female	Wealthy	Beautiful, secretive, emotionally unstable	Antagonist	Homemaker	Wade residence	Charming, calculating, unhinged	Murders Sylvia Lennox and Roger Wade; seduces Marlowe	Married to Roger Wade; connection to Terry Lennox	Dark hair, striking features	Elegant gowns, often white or cream	ChatGPT	The Long Goodbye	2024-12-22
Roger Wade	45	Male	Upper middle class	Brilliant but alcoholic and depressed	Supporting character	Author	In his study at home	Charismatic, self-loathing, tortured	Reveals hints of guilt; possibly suicidal	Married to Eileen Wade	Stocky, graying	Unkempt casual wear, dark tones	ChatGPT	The Long Goodbye	2024-12-22
Linda Loring	28	Female	Wealthy	Confident, sophisticated	Minor character	Socialite	At the cocktail party at Wade's home	Refined, independent, flirtatious	Proposes marriage to Marlowe; divorces Dr. Loring	Sister to Sylvia Lennox; estranged wife of Dr. Loring	Blonde, elegant	Tailored dresses in bold colors	ChatGPT	The Long Goodbye	2024-12-22
Candy	25	Male	Working class	Loyal but hot-tempered	Minor character	Houseboy	Wade residence	Protective, brash, impulsive	Threatens Marlowe on Eileen's behalf	Employee of the Wades	Muscular, rugged	Simple shirts, neutral colors	ChatGPT	The Long Goodbye	2024-12-22
Howard Spencer	50	Male	Middle class	Pragmatic, business-oriented	Minor character	Publisher	Phone call	Professional, practical, detached	Requests Marlowe to find Roger Wade	Professional connection to Roger Wade	Average build, balding	Business suits, dark colors	ChatGPT	The Long Goodbye	2024-12-22
Dr. Edward Loring	40	Male	Wealthy	Arrogant, jealous	Minor character	Physician	At a cocktail party	Condescending, possessive, stern	Prescribes drugs to Eileen Wade; threatens Roger Wade	Married to Linda Loring	Thin, sharp features	Formal medical attire	ChatGPT	The Long Goodbye	2024-12-22
Harlan Potter	60	Male	Wealthy	Influential, intimidating	Minor character	Media tycoon	Referenced indirectly	Manipulative, domineering, secretive	Tries to suppress the truth about Sylvia Lennox	Father-in-law of Sylvia Lennox	Tall, imposing	Expensive suits, dark gray	ChatGPT	The Long Goodbye	2024-12-22
Mendy Menendez	40	Male	Criminal class	Thuggish, loyal to Terry Lennox	Minor character	Gangster	Confronts Marlowe	Violent, loyal, opportunistic	Attempts to intimidate Marlowe	Friend of Terry Lennox	Stocky, scarred	Casual flashy clothes, bright colors	ChatGPT	The Long Goodbye	2024-12-22
Bernie Ohls	50	Male	Middle class	Professional, weary of Marlowe's antics	Supporting character	Police officer	Marlowe's home	Pragmatic, cautious, skeptical	Releases Marlowe; later assists him	Friend of Philip Marlowe	Stocky, mustache	Police uniform	ChatGPT	The Long Goodbye	2024-12-22
Philip Marlowe	33	Male	Middle Class	Sharp, Observant, Cynical	Protagonist	Private Investigator	Chapter 1	Determined, Ethical, Witty	Investigates blackmail and murder cases	Interacts with most characters	Tall, dark hair, rugged	Usually wears a suit and trench coat	Copilot	The Big Sleep	2024-12-23
General Sternwood	70s	Male	Wealthy	Old, Frail, Commanding	Client	Retired General	Chapter 1	Authoritative, Concerned	Hires Marlowe to handle blackmail	Father of Vivian and Carmen Sternwood	Elderly, frail	Formal, expensive clothing	Copilot	The Big Sleep	2024-12-23
Vivian Sternwood	30s	Female	Wealthy	Beautiful, Intelligent, Manipulative	Client's Daughter	Socialite	Chapter 1	Charming, Secretive, Strong-willed	Attempts to seduce Marlowe, involved in cover-up	Sister of Carmen Sternwood, wife of Rusty Regan	Attractive, stylish	Elegant dresses, often in dark colors	Copilot	The Big Sleep	2024-12-23
Carmen Sternwood	20s	Female	Wealthy	Wild, Childlike, Unstable	Client's Daughter	Socialite	Chapter 1	Impulsive, Naive, Troubled	Involved in multiple blackmail schemes, kills Rusty Regan	Sister of Vivian Sternwood	Blonde, petite	Revealing, fashionable clothing	Copilot	The Big Sleep	2024-12-23
Arthur Geiger	40s	Male	Middle Class	Shady, Secretive	Antagonist	Bookseller	Chapter 3	Deceptive, Greedy	Runs illegal pornography business, blackmails Carmen	Employer of Agnes	Short, stout, glasses	Business attire, often dark colors	Copilot	The Big Sleep	2024-12-23
Joe Brody	30s	Male	Middle Class	Opportunistic, Cunning	Antagonist	Criminal	Chapter 10	Scheming, Self-serving	Takes over Geiger's blackmail scheme	Partner of Agnes	Average build, unremarkable	Informal, casual clothing	Copilot	The Big Sleep	2024-12-23
Eddie Mars	40s	Male	Middle Class	Ruthless, Calculating	Antagonist	Casino Owner	Chapter 15	Manipulative, Dangerous	Blackmails Vivian, involved in various criminal activities	Husband of Mona Mars	Tall, imposing	Sharp suits, often dark colors	Copilot	The Big Sleep	2024-12-23
Mona Mars	30s	Female	Middle Class	Loyal, Mysterious	Supporting Character	Eddie's Wife	Chapter 20	Devoted, Protective	Hides out to protect Eddie	Wife of Eddie Mars	Attractive, mysterious	Stylish, often in light colors	Copilot	The Big Sleep	2024-12-23
Harry Jones	30s	Male	Lower Class	Desperate, Resourceful	Supporting Character	Informant	Chapter 25	Determined, Nervous	Tries to sell information to Marlowe	Partner of Agnes	Small, wiry	Shabby, worn clothing	Copilot	The Big Sleep	2024-12-23
Agnes Lozelle	30s	Female	Lower Class	Sly, Opportunistic	Supporting Character	Clerk	Chapter 3	Cunning, Self-interested	Works with Brody and later Harry Jones	Partner of Joe Brody and later Harry Jones	Plain, unremarkable	Modest, practical clothing	Copilot	The Big Sleep	2024-12-23
Rusty Regan	40s	Male	Middle Class	Charming, Mysterious	Supporting Character	Former Bootlegger	Referred to in Chapter 1	Charismatic, Elusive	Disappears, later revealed to be murdered by Carmen	Husband of Vivian Sternwood	Tall, handsome	Casual, rugged clothing	Copilot	The Big Sleep	2024-12-23
Lash Canino	30s	Male	Middle Class	Violent, Loyal	Antagonist	Henchman	Chapter 30	Brutal, Loyal	Kills Harry Jones, works for Eddie Mars	Associate of Eddie Mars	Strong, intimidating	Work clothes, often dark colors	Copilot	The Big Sleep	2024-12-23
Carol Lundgren	20s	Male	Middle Class	Devoted, Vengeful	Supporting Character	Geiger's Lover	Chapter 18	Impulsive, Emotional	Kills Joe Brody, hides Geiger's body	Lover of Arthur Geiger	Young, fit	Casual, often dark colors	Copilot	The Big Sleep	2024-12-23
Owen Taylor	20s	Male	Lower Class	Loyal, Protective	Supporting Character	Chauffeur	Chapter 5	Devoted, Impulsive	Kills Geiger, found dead in car	Chauffeur for Sternwood family	Young, average build	Chauffeur uniform	Copilot	The Big Sleep	2024-12-23
Larry Daykin	13	Male	Middle-class	Intelligent, leader	Protagonist	Student	At the scene of the fire	Responsible, calm-headed	Organizes the group to investigate	Brother to Daisy, friend to the group	Brown hair, average build	Casual clothes, likely white shirt and brown shorts	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Daisy Daykin	12	Female	Middle-class	Supportive, practical	Protagonist	Student	At the scene of the fire	Caring, observant	Assists in clue gathering	Sister to Larry, friend to the group	Long brown hair, neat appearance	Simple dress, pastel-colored	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Pip Hilton	12	Male	Middle-class	Inquisitive, curious	Protagonist	Student	At the scene of the fire	Enthusiastic, adventurous	Explores potential suspects	Brother to Bets, friend to the group	Short, fair-haired, slight build	Striped shirt and blue shorts	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Bets Hilton	8	Female	Middle-class	Naive, cheerful	Protagonist	Student	At the scene of the fire	Optimistic, kind	Gathers small but vital details	Sister to Pip, friend to the group	Short, blonde hair, rosy cheeks	Light dress, floral patterns	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Frederick Algernon Trotteville (Fatty)	12	Male	Middle-class	Clever, quick-witted	Protagonist	Student	At the scene of the fire	Sharp, analytical	Discovers key contradictions	New to the group, becomes leader	Stocky build, dark hair	Checked shirt, brown trousers	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Mr Hick	50s	Male	Wealthy	Scheming, secretive	Antagonist	Businessman	Owns the cottage and the fire site	Greedy, self-serving	Burns his cottage for insurance money	Employer to several characters	Stocky, gray hair	Suit with a waistcoat, gray tones	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Mrs Minns	50s	Female	Working-class	Grumpy, nosy	Supporting character	Housekeeper	At Mr Hick's cottage	Complains, observant	Provides clues and insights about Mr Hick	Sister to Hannah, employee of Mr Hick	Short, round, tidy apron	Apron and dark-colored dress	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Mr Goon	40s	Male	Working-class	Authoritative, pompous	Supporting character	Policeman	At the village station	Stern, easily frustrated	Tries to control the investigation	Official role in the village	Stocky, red face	Police uniform, navy blue	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
Horace Peeks	30s	Male	Working-class	Resentful, shady	Suspect	Former employee of Mr Hick	Mentioned in witness interviews	Secretive, evasive	A suspect for the fire	Former subordinate to Mr Hick	Thin, gaunt	Dark overalls	ChatGPT	The Mystery of the Burnt Cottage	2024-12-23
